"PID","PROV_ID_TYPE","ID_PROVIDER","ID_DOC","ID_LETTER_EXTERNAL","DTE_ADDED"
"130617","MCD","2363820        ","6514311002253","FIN-3310-O          ","07-NOV-14"
"130771","MCD","2365364        ","6514311002254","FIN-3310-O          ","07-NOV-14"
"132381","MCD","2381462        ","6514311002255","FIN-3310-O          ","07-NOV-14"
"133424","MCD","2391899        ","6514311002256","FIN-3310-O          ","07-NOV-14"
"133425","MCD","2391906        ","6514311002257","FIN-3310-O          ","07-NOV-14"
"10343198","MCD","0094125        ","6514311002258","FIN-3310-O          ","07-NOV-14"
"10343229","MCD","0094158        ","6514311002259","FIN-3310-O          ","07-NOV-14"
"10343223","MCD","0094152        ","6514311002260","FIN-3310-O          ","07-NOV-14"
"10343232","MCD","0094161        ","6514311002261","FIN-3310-O          ","07-NOV-14"
"10343158","MCD","0094085        ","6514311002262","FIN-3310-O          ","07-NOV-14"
"133512","MCD","2392772        ","6514311002263","FIN-3310-O          ","07-NOV-14"
"133513","MCD","2392781        ","6514311002264","FIN-3310-O          ","07-NOV-14"
"133514","MCD","2392790        ","6514311002265","FIN-3310-O          ","07-NOV-14"
"133515","MCD","2392807        ","6514311002266","FIN-3310-O          ","07-NOV-14"
"133517","MCD","2392825        ","6514311002267","FIN-3310-O          ","07-NOV-14"
"10343518","MCD","0094461        ","6514311002268","FIN-3310-O          ","07-NOV-14"
"133519","MCD","2392843        ","6514311002269","FIN-3310-O          ","07-NOV-14"
"10343204","MCD","0094131        ","6514311002270","FIN-3310-O          ","07-NOV-14"
"10343284","MCD","0094213        ","6514311002271","FIN-3310-O          ","07-NOV-14"
"133525","MCD","2392905        ","6514311002272","FIN-3310-O          ","07-NOV-14"
"133526","MCD","2392914        ","6514311002273","FIN-3310-O          ","07-NOV-14"
"133527","MCD","2392923        ","6514311002274","FIN-3310-O          ","07-NOV-14"
"133528","MCD","2392932        ","6514311002275","FIN-3310-O          ","07-NOV-14"
"10342856","MCD","0093770        ","6514311002276","FIN-3310-O          ","07-NOV-14"
"133845","MCD","2396107        ","6514311002277","FIN-3310-O          ","07-NOV-14"
"133846","MCD","2396116        ","6514311002278","FIN-3310-O          ","07-NOV-14"
"133847","MCD","2396125        ","6514311002279","FIN-3310-O          ","07-NOV-14"
"133848","MCD","2396134        ","6514311002280","FIN-3310-O          ","07-NOV-14"
"134382","MCD","2401476        ","6514311002281","FIN-3310-O          ","07-NOV-14"
"135362","MCD","2411278        ","6514311002282","FIN-3310-O          ","07-NOV-14"
"135363","MCD","2411287        ","6514311002283","FIN-3310-O          ","07-NOV-14"
"135408","MCD","2411732        ","6514311002284","FIN-3310-O          ","07-NOV-14"
"10343299","MCD","0094229        ","6514311002285","FIN-3310-O          ","07-NOV-14"
"135985","MCD","2417512        ","6514311002286","FIN-3310-O          ","07-NOV-14"
"135987","MCD","2417530        ","6514311002287","FIN-3310-O          ","07-NOV-14"
"135988","MCD","2417549        ","6514311002288","FIN-3310-O          ","07-NOV-14"
"135989","MCD","2417558        ","6514311002289","FIN-3310-O          ","07-NOV-14"
"135990","MCD","2417567        ","6514311002290","FIN-3310-O          ","07-NOV-14"
"136603","MCD","2423694        ","6514311002291","FIN-3310-O          ","07-NOV-14"
"138042","MCD","2438080        ","6514311002292","FIN-3310-O          ","07-NOV-14"
"138164","MCD","2439301        ","6514311002293","FIN-3310-O          ","07-NOV-14"
"138165","MCD","2439310        ","6514311002294","FIN-3310-O          ","07-NOV-14"
"138166","MCD","2439329        ","6514311002295","FIN-3310-O          ","07-NOV-14"
"138168","MCD","2439347        ","6514311002296","FIN-3310-O          ","07-NOV-14"
